Degree,N,Solve Time,Objective Value,Integral of Square Error
2,3,0.030277729034424,0.111111111111111,0.111111111111111
2,4,0.023206233978271,0.075700409737768,0.075700409737768
2,5,0.020173788070679,0.072935990346153,0.072935990346153
2,6,0.018549442291260,0.071318522542177,0.071318522542177
2,7,0.024687767028809,0.067553783375285,0.067553783375285
2,8,0.027874231338501,0.063345828861975,0.063345828861975
2,9,0.034166097640991,0.061579077151295,0.061579077151295
2,10,0.040472745895386,0.061261809839823,0.061261809839823
2,11,0.049576520919800,0.061208162045576,0.061208162045576
2,12,0.043249130249023,0.060982951749265,0.060982951749265
2,13,0.057029485702515,0.060666746172547,0.060666746172547
2,14,0.063794612884521,0.060533352097694,0.060533352097694
2,15,0.067719459533691,0.060508140831029,0.060508140831029
2,16,0.070737600326538,0.060492942006137,0.060492942006137
2,17,0.107127904891968,0.060420182178373,0.060420182178373
2,18,0.097759246826172,0.060340999959802,0.060340999959802
2,19,0.089261054992676,0.060312267420143,0.060312267420143
2,20,0.164022207260132,0.060308856262175,0.060308856262175
2,21,0.112733364105225,0.060301331134362,0.060301331134362
2,22,0.162592411041260,0.060267252619627,0.060267252619627
2,23,0.148025512695312,0.060237577280043,0.060237577280043
2,24,0.158703327178955,0.060228638776422,0.060228638776422
2,25,0.176340103149414,0.060228336299219,0.060228336299219
2,26,0.203931331634522,0.060223472603201,0.060223472603201
2,27,0.256706237792969,0.060204508190034,0.060204508190034
2,28,0.231750249862671,0.060191004265795,0.060191004265795
2,29,0.325786352157593,0.060187761178430,0.060187761178430
2,30,0.274953603744507,0.060187922803667,0.060187922803667
2,31,0.331239223480225,0.060184345870115,0.060184345870115
2,32,0.382282972335815,0.060172709469566,0.060172709469566
2,33,0.341493129730225,0.060165856728412,0.060165856728412
2,34,0.353447675704956,0.060164636731874,0.060164636731874
2,35,0.466593742370606,0.060164776127761,0.060164776127761
2,36,0.466737031936646,0.060161950113449,0.060161950113449
2,37,0.513452053070068,0.060154377558625,0.060154377558625
2,38,0.427500724792480,0.060150664751200,0.060150664751200
2,39,0.554231405258179,0.060150247813501,0.060150247813501
2,40,0.541893720626831,0.060150283488068,0.060150283488068
2,41,0.775489807128906,0.060147948837376,0.060147948837376
3,4,0.013590335845947,0.076890113619765,0.076890113619765
3,5,0.016496658325195,0.074661074754800,0.074661074754800
3,6,0.019586801528931,0.069799798906152,0.069799798906152
3,7,0.023968935012817,0.063222465493498,0.063222465493498
3,8,0.027383565902710,0.062090267873544,0.062090267873544
3,9,0.038066864013672,0.062329590418404,0.062329590418404
3,10,0.066173076629639,0.061934479184160,0.061934479184160
3,11,0.053553104400635,0.060909657055431,0.060909657055431
3,12,0.077651739120483,0.060508594272845,0.060508594272845
3,13,0.092374801635742,0.060557828921086,0.060557828921086
3,14,0.127854585647583,0.060620020549443,0.060620020549443
3,15,0.126019001007080,0.060528022269786,0.060528022269786
3,16,0.161396741867065,0.060317081980843,0.060317081980843
3,17,0.186619997024536,0.060254984020524,0.060254984020524
3,18,0.252863168716431,0.060269712011931,0.060269712011931
3,19,0.320658206939697,0.060281854383564,0.060281854383564
3,20,0.339981079101562,0.060244224009919,0.060244224009919
3,21,0.322492599487305,0.060183483796680,0.060183483796680
3,22,0.539898872375488,0.060172761300589,0.060172761300589
3,23,0.654653072357178,0.060182646723738,0.060182646723738
3,24,0.806532621383667,0.060187105798914,0.060187105798914
3,25,0.942195415496826,0.060167386967664,0.060167386967664
3,26,0.638015985488892,0.060144300116751,0.060144300116751
3,27,0.755277156829834,0.060142632222415,0.060142632222415
3,28,1.119826078414917,0.060148318026731,0.060148318026731
3,29,0.998627901077270,0.060150074171247,0.060150074171247
3,30,1.117028474807739,0.060137705878635,0.060137705878635
3,31,0.804232835769653,0.060127736121643,0.060127736121643
3,32,1.068181753158569,0.060128713770035,0.060128713770035
3,33,1.241899251937866,0.060132421329751,0.060132421329751
3,34,1.445266485214234,0.060132782577218,0.060132782577218
3,35,2.312517642974854,0.060124518979569,0.060124518979569
3,36,1.636758327484131,0.060119914296250,0.060119914296250
3,37,1.869827985763550,0.060121162023978,0.060121162023978
3,38,1.705200910568237,0.060123624346326,0.060123624346326
3,39,1.366452217102051,0.060123955568155,0.060123955568155
3,40,2.097431182861328,0.060117769072510,0.060117769072510
3,41,1.292635917663574,0.060116054800461,0.060116054800461
3,50,8.885276556015015,0.060116392626734,0.060116392626734
4,5,0.020618200302124,0.073806833059056,0.073806833059056
4,6,0.028636932373047,0.067579903041990,0.067579903041990
4,7,0.027998447418213,0.062936636955713,0.062936636955713
4,8,0.029149770736694,0.063122481020976,0.063122481020976
4,9,0.052815198898315,0.062618669879032,0.062618669879032
4,10,0.073432922363281,0.061242046155685,0.061242046155685
4,11,0.069380760192871,0.060782663791817,0.060782663791817
4,12,0.086089849472046,0.060891333592748,0.060891333592748
4,13,0.134998798370361,0.060837197805908,0.060837197805908
4,14,0.157692193984985,0.060482959321102,0.060482959321102
4,15,0.195344209671020,0.060323887044083,0.060323887044083
4,16,0.285172462463379,0.060350120710900,0.060350120710900
4,17,0.265467882156372,0.060381785859055,0.060381785859055
4,18,0.389678001403809,0.060333284841218,0.060333284841218
4,19,0.457413911819458,0.060211050649677,0.060211050649677
4,20,0.427248716354370,0.060184942709754,0.060184942709754
4,21,0.564642667770386,0.060201930772457,0.060201930772457
4,22,0.612305641174316,0.060214065384191,0.060214065384191
