Degree,N,Solve Time,Objective Value,Integral of Square Error
2,3,0.0900,0.1111,0.1111
2,4,0.0197,0.0757,0.0757
2,5,0.0239,0.0729,0.0729
2,6,0.0226,0.0713,0.0713
2,7,0.0243,0.0676,0.0676
2,8,0.0280,0.0633,0.0633
2,9,0.0351,0.0616,0.0616
2,10,0.0368,0.0613,0.0613
2,11,0.0363,0.0612,0.0612
2,12,0.0400,0.0610,0.0610
2,13,0.0442,0.0607,0.0607
2,14,0.0485,0.0605,0.0605
2,15,0.0621,0.0605,0.0605
2,16,0.0699,0.0605,0.0605
2,17,0.1055,0.0604,0.0604
2,18,0.0861,0.0603,0.0603
2,19,0.0924,0.0603,0.0603
2,20,0.1286,0.0603,0.0603
2,21,0.1333,0.0603,0.0603
2,22,0.1479,0.0603,0.0603
2,23,0.1628,0.0602,0.0602
2,24,0.1617,0.0602,0.0602
2,25,0.1760,0.0602,0.0602
2,26,0.4415,0.0602,0.0602
2,27,0.2968,0.0602,0.0602
2,28,0.3048,0.0602,0.0602
2,29,0.3282,0.0602,0.0602
2,30,0.3359,0.0602,0.0602
2,31,0.3557,0.0602,0.0602
2,32,0.3879,0.0602,0.0602
2,33,0.4403,0.0602,0.0602
2,34,0.4944,0.0602,0.0602
2,35,0.4756,0.0602,0.0602
2,36,0.5068,0.0602,0.0602
2,37,0.5415,0.0602,0.0602
2,38,0.5696,0.0602,0.0602
2,39,0.6472,0.0602,0.0602
2,40,0.6275,0.0602,0.0602
3,4,0.0192,0.0769,0.0769
3,5,0.0266,0.0747,0.0747
3,6,0.0228,0.0698,0.0698
3,7,0.0276,0.0632,0.0632
3,8,0.0321,0.0621,0.0621
3,9,0.0412,0.0623,0.0623
3,10,0.0437,0.0619,0.0619
3,11,0.0497,0.0609,0.0609
3,12,0.0914,0.0605,0.0605
3,13,0.0883,0.0606,0.0606
3,14,0.1002,0.0606,0.0606
3,15,0.1322,0.0605,0.0605
3,16,0.1902,0.0603,0.0603
3,17,0.1907,0.0603,0.0603
3,18,0.2379,0.0603,0.0603
3,19,0.4062,0.0603,0.0603
3,20,0.4612,0.0602,0.0602
3,21,0.3492,0.0602,0.0602
3,22,0.5704,0.0602,0.0602
3,23,0.7119,0.0602,0.0602
3,24,0.6331,0.0602,0.0602
3,25,0.7613,0.0602,0.0602
3,26,0.4963,0.0601,0.0601
3,27,0.6022,0.0601,0.0601
3,28,0.6692,0.0601,0.0601
3,29,0.6887,0.0602,0.0602
3,30,0.7593,0.0601,0.0601
3,31,0.7000,0.0601,0.0601
3,32,0.9050,0.0601,0.0601
